2305,1775998541764,person,0.613,"[138,166,185,180]"
2328,1775998542719,bird,0.687,"[69,101,235,178]"
2329,1775998542745,bird,0.777,"[59,97,238,178]"
2330,1775998542797,person,0.787,"[53,95,241,178]"
2332,1775998542875,bird,0.885,"[50,87,246,178]"
2335,1775998543004,person,0.750,"[54,79,249,178]"
2338,1775998543124,person,0.760,"[53,73,254,178]"
2340,1775998543234,bird,0.903,"[52,70,256,178]"
2341,1775998543245,bird,0.778,"[51,68,257,178]"
2342,1775998543291,bird,0.677,"[50,65,258,178]"
2343,1775998543330,person,0.815,"[50,63,258,178]"
2344,1775998543374,person,0.724,"[55,61,260,178]"
2345,1775998543419,person,0.792,"[55,59,260,178]"
2346,1775998543476,person,0.719,"[55,59,261,178]"
2347,1775998543496,person,0.605,"[57,57,262,178]"
2352,1775998543732,bird,0.695,"[71,55,261,178]"
2353,1775998543745,bird,0.623,"[76,54,260,178]"
2361,1775998544085,person,0.542,"[74,53,258,177]"
2363,1775998544161,person,0.610,"[74,52,258,177]"
